Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AttritionFlag,AgeGroup,IncomeBand,TenureGroup,EarlyCareerFlag,YearsWithoutPromotion,RoleTenureRatio,ManagerTenureRatio,CompanyExperienceRatio,OvertimeRiskFlag,SatisfactionIndex,CompaRatio,JobHopIntensity,StagnationRiskFlag
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,No,11,3,3,1,10,1,3,10,9,8,8,0,26-35,High,6-10 years,0,2,0.9,0.8,1.0,0,2.25,1.0165777247599597,0.09090909090909091,0
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Yes,12,3,4,2,7,5,2,6,2,0,5,0,26-35,Lower-Middle,6-10 years,0,6,0.3333333333333333,0.8333333333333334,0.8571428571428571,1,2.25,1.1833872443905518,0.0,0
22,No,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0,0,18-25,Lower-Middle,0-1 years,1,1,0.0,0.0,1.0,1,3.0,1.05313570718201,0.5,0
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,15427,22021,2,No,16,3,3,0,31,3,3,25,8,3,7,0,46-55,High,11+ years,0,22,0.32,0.28,0.8064516129032258,0,2.75,0.9950474655911734,0.0625,0
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Yes,11,3,3,0,6,3,3,3,2,1,2,0,36-45,Lower-Middle,2-3 years,0,2,0.6666666666666666,0.6666666666666666,0.5,1,3.5,1.4151847458691134,0.7142857142857143,0
24,No,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,No,18,3,4,1,5,5,2,4,2,1,3,0,18-25,Lower-Middle,4-5 years,1,3,0.5,0.75,0.8,0,2.5,0.7289709129621512,0.0,0
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,No,23,4,2,0,10,4,3,5,3,0,3,1,36-45,Lower-Middle,4-5 years,0,5,0.6,0.6,0.5,0,2.25,1.2224985875192873,0.6363636363636364,0
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,No,11,3,3,0,13,4,3,12,6,2,11,0,26-35,High,11+ years,0,10,0.5,0.9166666666666666,0.9230769230769232,0,2.25,1.2217267766303563,0.0,0
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,No,14,3,4,0,0,6,3,0,0,0,0,0,18-25,Low,0-1 years,1,0,0.0,0.0,0.0,0,3.5,0.4420658232532322,1.0,0
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,No,11,3,3,0,8,2,3,4,2,1,3,1,26-35,Lower-Middle,4-5 years,0,3,0.5,0.75,0.5,0,2.25,1.062106198725298,0.2222222222222222,0
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,No,11,3,4,1,26,3,2,14,13,4,8,0,46-55,High,11+ years,0,10,0.9285714285714286,0.5714285714285714,0.5384615384615384,0,3.0,0.9949027212672062,0.14814814814814814,0
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Yes,22,4,2,0,10,5,3,10,2,6,7,1,26-35,Lower-Middle,6-10 years,0,4,0.2,0.7,1.0,1,2.0,1.4062142543258254,0.09090909090909091,0
42,No,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,No,11,3,4,1,10,2,3,9,7,4,2,0,36-45,Upper-Middle,6-10 years,0,5,0.7777777777777778,0.2222222222222222,0.9,0,3.0,1.2403955325272207,0.0,0
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,No,14,3,4,1,24,4,3,22,6,5,17,0,36-45,High,11+ years,0,17,0.2727272727272727,0.7727272727272727,0.9166666666666666,0,3.0,1.0438766055450968,0.12,0
46,No,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,18947,22822,3,No,12,3,4,0,22,2,2,2,2,2,1,0,46-55,High,2-3 years,0,0,1.0,0.5,0.0909090909090909,0,2.25,0.987243210424728,0.13043478260869565,0
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,No,11,3,4,0,7,3,3,1,1,0,0,0,26-35,Low,0-1 years,0,1,1.0,0.0,0.1428571428571428,0,3.5,0.895613875681873,0.5,0
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Yes,13,3,4,0,9,5,4,4,2,1,3,0,36-45,Upper-Middle,4-5 years,0,3,0.5,0.75,0.4444444444444444,1,4.0,1.1749680758664443,0.2,0
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,No,13,3,1,0,10,5,3,10,0,1,8,0,26-35,Low,6-10 years,0,9,0.0,0.8,1.0,0,2.75,0.7915561737797323,0.09090909090909091,0
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,No,14,3,3,1,19,6,4,1,0,0,0,1,36-45,Low,0-1 years,0,1,0.0,0.0,0.0526315789473684,0,3.75,0.3791157627621659,0.15,0
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0,1,18-25,Low,2-3 years,0,0,0.0,0.0,0.3333333333333333,1,2.25,0.8227734843503745,0.2857142857142857,0
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,No,12,3,4,2,6,3,2,5,3,1,4,0,36-45,Low,4-5 years,0,4,0.6,0.8,0.8333333333333334,0,3.25,0.9490780052798694,0.14285714285714285,0
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Yes,14,3,3,0,3,2,3,3,2,0,2,1,46-55,Low,2-3 years,1,3,0.6666666666666666,0.6666666666666666,1.0,1,2.5,0.9627131524256671,0.25,0
35,No,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,No,13,3,1,0,2,3,3,2,2,2,2,0,26-35,Low,2-3 years,1,0,1.0,1.0,1.0,0,3.0,0.7226627987272805,0.3333333333333333,0
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0,0,36-45,Lower-Middle,0-1 years,0,1,1.0,0.0,0.1666666666666666,1,2.75,1.2268044234600655,1.2857142857142858,0
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,No,19,3,1,2,10,3,3,5,3,1,3,0,26-35,Upper-Middle,4-5 years,0,4,0.6,0.6,0.5,0,2.0,0.9770500194675953,0.18181818181818182,0
35,No,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,No,12,3,3,1,1,3,3,1,0,0,0,0,26-35,Low,0-1 years,1,1,0.0,0.0,1.0,0,3.25,0.7000571600381947,0.5,0
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,No,13,3,4,1,1,6,3,1,0,0,0,0,26-35,Low,0-1 years,1,1,0.0,0.0,1.0,0,3.0,0.8399968281134874,0.5,0
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,No,12,3,3,0,1,2,2,1,0,0,1,1,26-35,Low,0-1 years,1,1,0.0,1.0,1.0,0,2.25,0.8227734843503745,0.5,0
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,No,15,3,4,0,9,0,3,9,8,1,7,0,26-35,High,6-10 years,0,8,0.8888888888888888,0.7777777777777778,1.0,0,3.5,0.8888434094444296,0.1,0
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,No,23,4,4,0,12,2,3,12,8,3,7,0,26-35,Lower-Middle,11+ years,0,9,0.6666666666666666,0.5833333333333334,1.0,0,3.5,0.7289709129621512,0.07692307692307693,0
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,No,12,3,4,0,23,0,3,22,15,15,8,1,36-45,High,11+ years,0,7,0.6818181818181818,0.3636363636363636,0.9565217391304348,0,3.0,1.018402308953993,0.041666666666666664,0
34,No,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,No,20,4,3,0,10,2,3,9,5,8,7,0,26-35,Lower-Middle,6-10 years,0,1,0.5555555555555556,0.7777777777777778,0.9,0,2.75,0.830201727851186,0.0,0
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,No,21,4,1,0,8,1,3,1,0,0,0,0,36-45,Lower-Middle,0-1 years,0,1,0.0,0.0,0.125,0,2.0,1.0843530177526524,0.4444444444444444,0
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8,0,46-55,Upper-Middle,6-10 years,0,9,0.6666666666666666,0.8888888888888888,0.6428571428571429,1,2.75,1.0490202217944495,0.26666666666666666,0
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,No,19,3,4,0,1,2,3,1,0,0,1,0,26-35,Low,0-1 years,1,1,0.0,1.0,1.0,0,3.75,0.814161812468818,0.5,0
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,0,1,46-55,Upper-Middle,0-1 years,0,1,0.0,0.0,0.0434782608695652,1,2.75,0.5481167071075493,0.375,0
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,2,1,26-35,Lower-Middle,2-3 years,1,0,1.0,1.0,1.0,1,2.75,1.234698456018159,0.3333333333333333,0
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3,0,36-45,Upper-Middle,4-5 years,0,3,0.75,0.75,0.4444444444444444,1,2.0,0.9912259684107636,0.5,0
35,No,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3,0,26-35,High,4-5 years,0,2,0.0,0.75,0.4,1,2.5,1.0067990211951343,0.18181818181818182,0
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,0,0,26-35,Lower-Middle,2-3 years,1,2,1.0,0.0,0.4,1,3.0,0.7555053814967995,1.1666666666666667,0
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12,0,26-35,High,11+ years,0,7,0.9333333333333332,0.8,1.0,1,2.75,1.3708520059939415,0.0625,0
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,No,22,4,4,1,9,3,2,9,8,1,8,0,26-35,High,6-10 years,0,8,0.8888888888888888,0.8888888888888888,1.0,0,2.25,0.9237819023895866,0.1,0
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2,0,26-35,Lower-Middle,2-3 years,1,0,1.0,1.0,0.5,1,2.5,1.4403021221903198,0.6,0
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,No,22,4,4,1,10,3,2,7,7,1,7,0,26-35,Upper-Middle,6-10 years,0,6,1.0,1.0,0.7,0,3.5,1.0750094615235912,0.2727272727272727,0
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,No,18,3,3,1,7,2,4,7,5,0,7,0,36-45,Upper-Middle,6-10 years,0,7,0.7142857142857143,1.0,1.0,0,2.75,1.0891854104667595,0.125,0
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8,0,26-35,Upper-Middle,6-10 years,0,2,0.8888888888888888,0.8888888888888888,1.0,1,2.5,1.1198999665102907,0.1,0
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,No,11,3,4,0,10,2,3,10,3,9,9,0,36-45,Low,6-10 years,0,1,0.3,0.9,1.0,0,3.75,0.4372735020161894,0.09090909090909091,0
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8,0,46-55,High,11+ years,0,14,0.1111111111111111,0.2962962962962963,0.9310344827586208,1,2.75,0.9764573686261362,0.16666666666666666,1
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,No,11,3,4,0,28,3,2,21,16,7,9,0,56+,Upper-Middle,11+ years,0,14,0.7619047619047619,0.4285714285714285,0.75,0,2.0,0.777916240880943,0.2413793103448276,0
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,No,13,3,2,3,17,2,3,17,14,12,8,0,36-45,High,11+ years,0,5,0.8235294117647058,0.4705882352941176,1.0,0,2.75,1.0283936582341235,0.05555555555555555,0
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Yes,14,3,3,3,21,2,3,5,0,0,2,0,46-55,High,4-5 years,0,5,0.0,0.4,0.238095238095238,1,3.25,0.9517677061167663,0.09090909090909091,0
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,No,13,3,3,0,6,3,3,6,5,0,3,0,36-45,Upper-Middle,6-10 years,0,6,0.8333333333333334,0.5,1.0,0,2.5,1.1811473356621842,0.14285714285714285,0
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,No,17,3,3,1,25,2,3,1,0,0,0,0,36-45,High,0-1 years,0,1,0.0,0.0,0.04,0,2.25,0.9905011819204256,0.07692307692307693,0
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,No,13,3,4,1,5,2,2,3,2,1,2,0,26-35,Low,2-3 years,1,2,0.6666666666666666,0.6666666666666666,0.6,0,2.25,0.787250337838954,0.6666666666666666,0
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,0,1,36-45,Lower-Middle,0-1 years,1,1,0.0,0.0,0.5,1,2.5,1.2156810139463885,0.0,0
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,No,11,3,4,0,20,2,2,4,3,1,3,0,56+,Upper-Middle,4-5 years,0,3,0.75,0.75,0.2,0,2.5,0.9946790841789712,0.3333333333333333,0
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,No,23,4,4,1,6,3,3,5,4,0,4,0,26-35,Low,4-5 years,0,5,0.8,0.8,0.8333333333333334,0,3.0,0.9698895456602975,0.0,0
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,No,17,3,2,0,1,4,3,1,1,1,0,0,26-35,Low,0-1 years,1,0,1.0,0.0,1.0,0,2.5,0.8974079739905305,0.5,0
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,No,17,3,2,2,10,3,3,10,4,0,9,0,26-35,Upper-Middle,6-10 years,0,10,0.4,0.9,1.0,0,2.25,1.1304410567500824,0.09090909090909091,0
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,No,12,3,2,0,5,3,3,1,0,0,0,0,36-45,Lower-Middle,0-1 years,1,1,0.0,0.0,0.2,0,2.75,1.0900941323403566,0.5,0
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,No,23,4,4,0,11,2,3,11,7,1,8,0,26-35,Lower-Middle,11+ years,0,10,0.6363636363636364,0.7272727272727273,1.0,0,3.5,0.8040307451868753,0.08333333333333333,0
35,No,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,No,14,3,2,0,16,2,3,15,13,2,8,0,26-35,Lower-Middle,11+ years,0,13,0.8666666666666667,0.5333333333333333,0.9375,0,2.25,0.7836755364479671,0.0,0
45,No,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0,0,36-45,High,0-1 years,0,0,0.0,0.0,0.0,1,2.75,1.3491555074594854,0.2222222222222222,0
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,No,13,3,1,0,16,3,4,5,2,0,2,0,36-45,High,4-5 years,0,5,0.4,0.4,0.3125,0,2.25,1.391835474060129,0.23529411764705882,0
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Yes,22,4,4,1,16,2,3,4,2,0,2,0,46-55,Upper-Middle,4-5 years,0,4,0.5,0.5,0.25,1,2.75,0.9125312774826629,0.47058823529411764,0
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Yes,12,3,3,2,10,1,2,10,8,3,0,0,26-35,Upper-Middle,6-10 years,0,7,0.8,0.0,1.0,1,3.25,0.9316142856753894,0.09090909090909091,0
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,No,18,3,1,0,6,3,3,6,4,0,4,0,26-35,Low,6-10 years,0,6,0.6666666666666666,0.6666666666666666,1.0,0,2.25,1.0258654128904146,0.14285714285714285,0
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,No,14,3,4,1,24,4,3,1,0,1,0,0,46-55,High,0-1 years,0,0,0.0,0.0,0.0416666666666666,0,3.0,1.0429598520858945,0.12,0
38,No,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9,0,36-45,Upper-Middle,11+ years,0,12,0.8461538461538461,0.6923076923076923,0.7647058823529411,1,3.25,0.9685081015146606,0.3888888888888889,0
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,No,15,3,3,0,5,2,3,5,2,1,3,0,26-35,Lower-Middle,4-5 years,1,4,0.4,0.6,1.0,0,2.25,0.7860381946051618,0.16666666666666666,0
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,No,11,3,1,0,37,3,2,6,4,0,2,0,56+,Upper-Middle,6-10 years,0,6,0.6666666666666666,0.3333333333333333,0.1621621621621621,0,2.75,0.7395144570899105,0.10526315789473684,0
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,No,13,3,3,1,3,3,3,0,0,0,0,0,18-25,Low,0-1 years,1,0,0.0,0.0,0.0,0,2.5,0.8331792545405885,0.75,0
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,2075,18725,3,No,23,4,2,2,10,4,3,4,2,0,3,0,46-55,Low,4-5 years,0,4,0.5,0.75,0.4,0,3.25,0.7445507980929033,0.2727272727272727,0
